data_type	cell_line	hpcc_directory	local_files_to_encode_files	encode_experiment_accessions	assay	target_or_signal	assembly	validation_status	notes
DHS	H1	/rhome/yzhan677/bigdata/DHS/H1	ENCFF232GUZ.bigWig=ENCFF232GUZ;ENCFF643ZJV.bed=ENCFF643ZJV	ENCSR951BNY	DNase-seq	DHS	GRCh38	validated	bigWig is read-depth normalized signal; BED is peaks
DHS	IMR-90	/rhome/yzhan677/bigdata/DHS/IMR-90	ENCFF706WOH.bigWig=ENCFF706WOH;ENCFF530ISG.bed=ENCFF530ISG	ENCSR477RTP	DNase-seq	DHS	GRCh38	validated	bigWig is read-depth normalized signal; BED is peaks
DHS	HepG2	/rhome/yzhan677/bigdata/DHS/HepG2	ENCFF842XRQ.bigWig=ENCFF842XRQ;ENCFF209DJG.bed=ENCFF209DJG	ENCSR149XIL	DNase-seq	DHS	GRCh38	validated	bigWig is read-depth normalized signal; BED is peaks
DHS	HeLa-S3	/rhome/yzhan677/bigdata/DHS/HeLa-S3	ENCFF757GHL.bigWig=ENCFF757GHL;ENCFF049BHH.bed=ENCFF049BHH	ENCSR959ZXU	DNase-seq	DHS	GRCh38	validated	bigWig is read-depth normalized signal; BED is peaks
DHS	GM23248	/rhome/yzhan677/bigdata/DHS/GM23248	ENCFF291LQB.bigWig=ENCFF291LQB;ENCFF834PPH.bed=ENCFF834PPH	ENCSR217TAW	DNase-seq	DHS	GRCh38	validated	bigWig is read-depth normalized signal; BED is peaks
DHS	SK-N-SH	/rhome/yzhan677/bigdata/DHS/SK-N-SH	ENCFF280RMA.bigWig=ENCFF280RMA;ENCFF752OZB.bed=ENCFF752OZB	ENCSR000ELQ	DNase-seq	DHS	GRCh38	validated	bigWig is read-depth normalized signal; BED is peaks
CpG	K562	/rhome/yzhan677/bigdata/CpG/K562	ENCFF660IHA.bed=ENCFF660IHA (rep1);plus.bigWig=ENCFF459XNY (rep1);minus.bigWig=ENCFF430PNX (rep1)	ENCSR765JPC	WGBS	strand-specific CpG methylation	GRCh38	validated	plus/minus bigWigs were renamed locally
CpG	GM12878	/rhome/yzhan677/bigdata/CpG/GM12878	ENCFF570TIL.bed=ENCFF570TIL (rep1);plus.bigWig=ENCFF620WDT (rep1);minus.bigWig=ENCFF608CXC (rep1)	ENCSR890UQO	WGBS	strand-specific CpG methylation	GRCh38	validated	plus/minus bigWigs were renamed locally
CpG	H1	/rhome/yzhan677/bigdata/CpG/H1	ENCFF160RPV.bed=ENCFF160RPV (rep2);plus.bigWig=ENCFF737DXC (rep2);minus.bigWig=ENCFF380UXR (rep2)	ENCSR482VHG (BED);ENCSR617FKV (plus/minus)	WGBS	strand-specific CpG methylation	GRCh38	mixed_sources_confirmed	BED and strand-specific bigWigs are H1 data but come from two different ENCODE experiments
CpG	IMR-90	/rhome/yzhan677/bigdata/CpG/IMR-90	ENCFF404JRI.bed=ENCFF404JRI (rep1);plus.bigWig=ENCFF047NJL (rep1);minus.bigWig=ENCFF031EOZ (rep1)	ENCSR888FON	WGBS	strand-specific CpG methylation	GRCh38	validated	plus/minus bigWigs were renamed locally
CpG	HepG2	/rhome/yzhan677/bigdata/CpG/HepG2	ENCFF690FNR.bed=ENCFF690FNR (rep2);plus.bigWig=ENCFF884UAE (rep2);minus.bigWig=ENCFF464CWC (rep2)	ENCSR786DCL	WGBS	strand-specific CpG methylation	GRCh38	validated	plus/minus bigWigs were renamed locally
CpG	HeLa-S3	/rhome/yzhan677/bigdata/CpG/HeLa-S3	ENCFF754RAW.bed=ENCFF754RAW (rep1);plus.bigWig=ENCFF193DAN (rep1);minus.bigWig=ENCFF347UWH (rep1)	ENCSR550RTN	WGBS	strand-specific CpG methylation	GRCh38	validated	plus/minus bigWigs were renamed locally
CpG	GM23248	/rhome/yzhan677/bigdata/CpG/GM23248	ENCFF840XVU.bed=ENCFF840XVU (rep1);plus.bigWig=ENCFF524EFX (rep1);minus.bigWig=ENCFF558AAR (rep1)	ENCSR625HZA	WGBS	strand-specific CpG methylation	GRCh38	validated	plus/minus bigWigs were renamed locally; minus accession inferred from matching experiment/replicate and rounded local size
CpG	SK-N-SH	/rhome/yzhan677/bigdata/CpG/SK-N-SH	ENCFF840XVU.bed=ENCFF840XVU (GM23248 mismatch);plus.bigWig=ENCFF141JXL (rep1);minus.bigWig=ENCFF496JNF (rep1)	ENCSR625HZA (local BED mismatch);ENCSR145HNT (plus/minus and expected source)	WGBS	strand-specific CpG methylation	GRCh38	cell_line_mismatch	ENCFF840XVU is GM23248; replace the local BED with SK-N-SH rep1 CpG BED ENCFF567KCL from ENCSR145HNT
RNA-seq	K562	/rhome/yzhan677/bigdata/fastq/K562	ENCFF000HFF.fastq=rep1 R1;ENCFF000HFG.fastq=rep1 R2;ENCFF000HFH.fastq=rep2 R1;ENCFF000HFY.fastq=rep2 R2	ENCSR000CPH	polyA plus RNA-seq	IRFinder input	N/A (raw reads)	validated	paired-ended PE76; HPCC files are decompressed copies of ENCODE fastq.gz files
RNA-seq	GM12878	/rhome/yzhan677/bigdata/fastq/GM12878	ENCFF001REK.fastq=rep1 R1;ENCFF001REJ.fastq=rep1 R2;ENCFF001REI.fastq=rep2 R1;ENCFF001REH.fastq=rep2 R2	ENCSR000AED	polyA plus RNA-seq	IRFinder input	N/A (raw reads)	validated	paired-ended PE101; HPCC files are decompressed copies of ENCODE fastq.gz files
RNA-seq	H1	/rhome/yzhan677/bigdata/fastq/H1	ENCFF565ZQD.fastq=ENCSR670WQY rep1 R1;ENCFF039JYG.fastq=ENCSR670WQY rep1 R2;ENCFF953ZDW.fastq=ENCSR043RSE rep1 R1;ENCFF346WNU.fastq=ENCSR043RSE rep1 R2	ENCSR670WQY;ENCSR043RSE	polyA plus RNA-seq	IRFinder input	N/A (raw reads)	mixed_sources_confirmed	paired-ended PE101; two paired libraries come from two separate released H1 experiments; HPCC files are decompressed
RNA-seq	IMR-90	/rhome/yzhan677/bigdata/fastq/IMR-90	ENCFF000GZX.fastq=rep1 R1;ENCFF000HAF.fastq=rep1 R2;ENCFF000GZY.fastq=rep2 R1;ENCFF000HAE.fastq=rep2 R2	ENCSR000CTQ	polyA plus RNA-seq	IRFinder input	N/A (raw reads)	validated	paired-ended PE101; HPCC files are decompressed copies of ENCODE fastq.gz files
RNA-seq	HepG2	/rhome/yzhan677/bigdata/fastq/HepG2	ENCFF946VBP.fastq.gz=rep1 R1;ENCFF982FAM.fastq.gz=rep1 R2;ENCFF787PPA.fastq.gz=rep2 R1;ENCFF564BSM.fastq.gz=rep2 R2	ENCSR561FEE	polyA plus RNA-seq	IRFinder input	N/A (raw reads)	validated	paired-ended PE50; files remain gzip-compressed on HPCC
RNA-seq	HeLa-S3	/rhome/yzhan677/bigdata/fastq/HeLa-S3	ENCFF000FQK.fastq=rep1 R1;ENCFF000FQX.fastq=rep1 R2;ENCFF000FQW.fastq=rep2 R1;ENCFF000FQV.fastq=rep2 R2	ENCSR000CPP	polyA plus RNA-seq	IRFinder input	N/A (raw reads)	validated	paired-ended PE76; cytosolic fraction; HPCC files are decompressed
RNA-seq	GM23248	/rhome/yzhan677/bigdata/fastq/GM23248	ENCFF509HFH.fastq=rep1 SE;ENCFF627NPY.fastq=rep1 SE;ENCFF065GSV.fastq=rep2 SE;ENCFF737TKD.fastq=rep2 SE	ENCSR510QZW	polyA plus RNA-seq	IRFinder input	N/A (raw reads)	validated	single-ended 100 nt; two files per biological replicate; HPCC files are decompressed
RNA-seq	SK-N-SH	/rhome/yzhan677/bigdata/fastq/SK-N-SH	ENCFF000INM.fastq=rep3 R1;ENCFF000INT.fastq=rep3 R2;ENCFF000INN.fastq=rep4 R1;ENCFF000INV.fastq=rep4 R2	ENCSR000CTR	polyA plus RNA-seq	IRFinder input	N/A (raw reads)	validated	paired-ended PE101; cytosolic fraction; HPCC files are decompressed
